,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65
X67B.F_S20.Me,85.44116332,121.4487997,99.7215088,17.64974061,6.887029983,-130.340918,139.4632069,-21.9142494,10.94538129,-119.2949144,81.20162673,-37.88830734,23.731804,-197.8252586,-89.1105798,130.0980975,-87.38924143,-111.1699027,74.90303533,-9.488363727,36.77142092,-58.37339949,2.169229474,35.68415628,-10.26482627,-79.35429417,15.61417697,13.30129312,38.92480234,-16.50359989,-15.95706711,5.778048358,13.61986334,-2.62615968,-8.211872062,13.2301863,25.07139264,2.686562675,-7.273846968,-10.62394432,4.577185969,-6.352991857,8.396167106,4.122272632,-4.327963472,1.383723094,5.335825838,-2.092057297,0.972334636,10.55676109,-4.70510132,-5.435259079,-29.80292858,-25.18412697,10.59889371,100.8132544,141.4543464,-21.28997361,2.184874133,-8.417119401,9.344787311,4.854419285,2.383280735,1.876685793,-7.56E-12
X67W.F_S34.Me,-0.305105512,107.2748024,-13.55760832,-26.2744791,-18.73443286,-16.10419565,-216.90339,-97.28937032,198.0179267,114.4106073,40.96172649,-89.3522467,86.30616285,27.48612535,208.2978395,87.7397125,-106.9433481,-67.69400984,-32.65321477,11.8971361,40.30049512,-8.615359159,-26.76957584,59.16168768,6.763906354,-10.72031284,14.15909901,3.289416187,25.5603025,-1.584929537,-6.391973822,3.007923653,25.08281776,3.558038217,-5.076914818,2.001400964,9.515577824,-3.938145025,-6.538288101,-8.687273389,-11.12976517,3.753629286,21.8730308,28.62238568,-1.975212803,-11.02651256,-3.485905601,-24.79657461,8.381779747,8.196450746,-16.93790091,-58.09926854,-158.7957483,6.445478985,-14.53582112,-27.11298773,-15.58564664,-9.039459993,-4.234631343,6.789930534,1.844010257,9.327301878,-1.133683155,-1.289648245,-5.20E-12
X6O.F_S6.Me,-51.92187154,16.50088967,47.05901205,19.71935703,17.77258722,-19.24785168,-12.07026392,22.00426739,-6.728668696,-14.65936349,-8.551547497,10.17469105,14.89267817,-22.54531603,25.90968392,0.099463208,-7.717077637,7.742888037,-10.9975298,-2.050658312,3.199208668,-11.90753606,-31.96287194,-6.404822025,28.30782306,77.08854127,-0.565013714,59.1696235,-77.21583106,-111.5079244,17.60489239,54.94749453,-235.6361105,-72.73260412,265.6455065,38.31566904,-48.54405024,17.29118515,-53.78839173,-132.3198426,3.126224952,15.01220734,8.271974917,-0.540080875,2.539458435,-2.507590374,2.637773344,-5.390317164,2.668022269,-2.722191579,-9.723975126,0.604070561,-4.240510295,-1.596410845,-0.817285099,1.765869115,2.593146215,-2.466720429,-1.191236329,-0.483355971,0.749373194,-2.958377307,-0.946739026,-1.555375932,-6.63E-12
X6W.F_S50.Me,1.694029775,-208.0283687,-42.82522523,-212.9123697,-228.7596675,-90.39014036,-62.95732665,16.8878352,34.59183073,-112.6254731,1.370333822,-80.34860552,17.84624693,-23.63271658,-32.89962573,-6.57738767,5.53907608,-2.18849082,-3.287025456,-23.25297786,6.186300009,-8.208410984,-5.294840414,12.5450951,-11.98157276,17.39273901,-9.570517383,-15.41866969,-2.358719221,0.920337613,1.298871646,-4.91974946,-1.875095147,0.211705289,9.723538477,-0.109975708,-6.493153475,2.194217984,3.151469923,5.588070851,4.749771753,0.620404214,-4.34276539,-5.545873827,-0.171804103,-0.267450196,0.22844607,4.294164866,-7.885634311,0.299833778,4.107298942,6.542155419,-4.560702959,-2.181590158,1.283160604,18.96066541,1.658856668,3.796439051,22.74085537,36.47530108,-172.7806155,24.93787706,-23.4728638,-23.70767414,-3.70E-12
X72Y.F_S28.Me,21.05271398,-14.03635143,22.27174101,20.6841331,-23.52756513,-3.163434381,-9.013812308,26.11350904,-31.54249595,28.56202303,-36.73528436,-5.579080282,33.2655991,-37.16773064,17.04841823,-8.248312559,23.92488683,-18.97597876,-11.30805352,9.737643874,0.281071001,7.204190112,-6.213570554,-43.01720634,60.31866478,75.85083835,-15.36157043,26.33234594,-72.90904493,-82.69232448,-34.40168141,19.37221177,-51.6940776,45.85951361,-0.193379645,-34.45831988,282.7996063,-225.9276165,141.3904574,25.28119583,12.44705916,7.415363782,-11.65983845,-13.71040596,-1.718380649,4.435290312,6.992417578,-2.646828589,-2.623468032,0.302071838,-0.943146921,-2.817458549,-2.154836015,-0.453162562,4.197693815,-1.998676383,0.393980704,0.406911183,-0.882221208,0.652749791,3.30900972,-1.809613903,-1.099705102,0.194837492,-2.66E-11
X76G.F_S46.Me,-29.25083457,-33.7164781,-34.56902947,-63.27363389,19.42751057,43.84881831,194.3732585,-99.10649804,164.7975579,32.65709346,-272.9272746,60.32909671,-39.61761854,-21.094773,36.0235534,-49.38364682,-44.66605655,-4.251007975,73.28081846,21.41478474,8.978920799,0.261374332,-29.01773787,52.81877118,-32.81762602,-14.05566579,5.17541937,3.600439233,-8.52898825,11.43565588,5.091807678,-9.65190759,0.375741878,-8.347414585,7.57829422,-7.490357051,-6.982616336,-6.714155736,2.406687827,2.598287836,-0.268552971,-4.904098535,1.7716375,-4.173938159,-0.522432135,-4.977300806,8.731297113,0.680672181,0.987076797,8.965936,3.591993913,-9.195007623,-11.79147968,32.94223075,186.620925,3.971097132,-16.60116118,-27.72086146,-11.41605414,3.735962847,0.658552596,5.544377452,-0.849734133,1.517219381,-6.80E-11
X81G.F_S79.Me,17.71609106,3.408886982,-1.773966404,-0.582618968,-17.86183873,-19.56402759,11.46990398,15.09599698,0.831206884,11.58915079,-29.30492802,4.061717153,-0.003939789,-10.96118091,11.58346116,11.49886986,9.271312455,10.57717946,-7.156616763,30.38835138,0.691244181,-41.97191338,9.071196196,-19.83525798,32.04366929,40.22929383,-18.23527289,70.69006117,-57.06049246,-59.89862137,-90.61593081,162.0087575,-34.63726829,339.4212374,-81.90707817,-25.5927311,-91.67245252,80.37552449,38.80634234,-61.98465192,10.75197426,4.18767753,0.056123805,-6.247226673,0.176846428,5.190473796,-1.535520483,-0.515563173,1.564983824,-1.380745883,-3.470560708,3.376663363,2.019636774,-0.37627376,0.726722877,-3.181725311,0.011147983,0.209134292,-2.324700652,-0.027465288,3.952755404,-2.977828429,-1.976604874,0.477839909,-2.76E-11
X86G.F_S75.Me,-71.73422832,44.53346717,35.59674361,27.06149553,-2.063050039,-1.076590299,-4.186118422,15.04550057,-6.511367269,-21.46188084,-0.449119611,-18.77639029,-0.589914885,-14.17085313,-8.17471102,0.952221564,-4.066599079,31.44342975,-4.472090737,28.50479425,1.118890073,-13.29485078,-1.642942518,-3.992277302,-12.58845391,32.83776882,11.35819613,6.45478247,-40.76013894,-7.77951395,12.97708322,33.73779823,-97.21662086,44.34397765,74.9869945,-13.18005759,-28.06953792,42.14120407,-35.45113881,351.5676384,-51.26895322,21.35648357,36.66510825,20.90830828,-0.635930968,-0.511801027,0.780362444,-4.75710257,3.583400479,0.173108567,-17.38143146,-4.926637761,-4.526447906,-0.175159771,0.653093807,3.665048755,4.553216364,4.375590294,1.701357024,-1.756668068,1.818556607,-3.740574513,-3.702915286,-2.460290092,-6.86E-13
X89Y.F_S31.Me,61.22956013,-8.322053845,21.04350937,-5.965800144,-0.479884682,-30.74091603,28.08979079,30.66812238,-11.15839535,26.23383613,-41.12517168,3.956739521,30.93148975,-18.54974862,42.22700508,-17.87785051,23.87716605,16.81569456,-37.27433999,1.905562839,-6.286947079,4.418620427,-24.63967924,-48.09175399,40.1582587,105.9169352,-37.43987538,32.27497541,-61.31352939,3.221931186,-140.1491247,94.1515275,42.05718337,-129.7425869,-82.90590573,279.3199087,85.72090325,163.6843277,32.02443921,21.73295218,-0.422258739,-0.604093357,-5.872454373,-3.263873129,-1.702081259,3.459379867,4.824118611,0.200241691,0.200782289,-1.850768416,-3.566157993,-0.95832705,-0.504398261,5.406018447,0.22233276,-2.568968275,-0.020886839,1.438762604,-0.595369084,-1.525979209,2.02536161,-2.85246543,1.328375836,1.351060195,1.41176393424441e-11
X90W.F_S21.Me,97.74590513,73.82817226,52.70749884,-16.42029273,-28.37409536,-4.260114983,54.91870039,-105.3150497,87.43306649,-26.17105841,165.3689396,55.66918851,39.7280553,-11.14200164,34.63872739,-292.8744416,86.50335663,27.26345227,-34.76662152,-2.337162607,-1.287172162,-56.66723313,-34.83723552,-20.08208734,-61.17679559,-12.55502043,25.14531041,-21.74847435,5.159113719,-20.76472726,12.61496304,-11.57309648,3.639500628,8.952722525,-3.010792753,-2.86575226,-0.563799735,-1.90460968,-5.262659817,-2.216044815,14.31902939,-0.457540931,-15.68308299,-15.06901064,7.155344828,-9.380972414,7.592216172,35.1384988,-182.2142141,-9.468986334,-85.44589337,2.63164363,-9.130781271,-6.536734948,-0.52060414,-4.998269468,1.214560921,-7.329725937,-2.313467963,1.207092508,5.345018048,-6.131173757,-2.07231909,-2.387818058,1.05930375653526e-10
X91W.F_S30.Me,-97.52471168,-210.6322031,-30.81397916,311.7523433,-49.09345989,-61.06439723,22.90838554,-29.70779798,71.86832715,-17.9371546,62.36682516,43.32113176,0.192562063,14.94487798,22.16397896,18.00231544,-5.405358046,-13.01044858,-1.230598089,-4.709473196,27.02764614,11.52462843,-11.44497368,11.26352738,-10.00151263,-7.370032277,-3.647095159,-3.0794061,1.14161803,3.769431617,-12.57264664,-3.206940661,11.10412445,1.116999384,0.795740137,-1.901887013,-3.164903991,3.014339986,2.0100854,2.904906975,7.014792489,-0.54297413,-3.415540645,-4.466400652,-3.150543854,-1.705624202,0.855053602,5.43325651,-4.505412939,1.225081016,2.498774252,5.730900176,-1.871431496,2.818481794,-0.12217035,3.565680469,-3.359534203,-1.015492408,-4.647244693,-0.833519987,-16.29552477,27.73211691,175.9893322,-34.30835943,-6.39E-12
X9W.F_S43.Me,48.47946242,10.81554574,63.62269224,-16.68013044,-20.1243041,-69.15517215,13.60339665,27.33147979,-49.1722606,47.38201852,-21.23817854,1.010748654,-28.30013971,-10.29602586,34.46926942,-22.32558046,-19.7040721,130.7981099,-98.08401949,88.03493745,165.0109053,186.2585479,181.9591024,59.94138704,-35.62411147,-128.6392577,11.46866694,-21.9012569,28.6867037,-9.960511894,27.67623222,0.036335276,-53.89223007,2.846874699,-21.41374502,53.07530038,-17.91742148,-22.38797696,4.573743458,19.30352603,235.7211409,64.34638002,16.86267196,19.9459246,16.2969498,2.267599867,-5.48662882,-1.395093157,7.950276815,-1.966954897,4.545049022,-4.787586394,-0.428220045,-1.613376814,1.257980733,-1.884942537,-1.470560619,1.551412286,1.290180479,0.627682799,2.683422837,-1.67752281,0.054318734,-1.933679397,-4.08E-12
X12O.G_S22.Me,-104.4114439,42.49305453,-20.7911865,43.37520746,-25.91173949,29.08689115,-46.66480041,10.39898622,-6.196609463,-6.046952881,-29.2627487,-29.94245303,90.85599385,-25.5623068,-46.85168641,-41.90257041,-111.1616279,152.2450807,51.09898408,71.00754989,-89.3245677,-167.7003185,178.0757192,-47.05284,-11.84165792,-2.850355777,-53.6641688,-21.43879734,-2.584020218,23.16832049,-12.66946138,-7.886281193,25.32439503,-14.84899878,6.84200152,4.729456908,0.433187614,-9.662105833,7.182758528,-20.32803597,-2.695966059,4.327709153,6.721175904,3.297478156,-2.123244665,-16.78425729,-3.699924073,-5.664246579,-12.42107722,10.68634808,18.40813134,4.718495408,-16.43522727,-34.78596313,-9.98691468,153.0560081,-115.5633903,-1.86440314,-1.151345048,-5.394812168,14.05409465,3.421271328,-3.801868597,5.136295773,-4.40E-12
X14B.G_S25.Me,-47.69530355,-127.287398,68.47179312,-81.36460129,233.5995192,55.41665325,-56.43534731,-113.1791842,-53.25368319,-145.475886,-7.255503896,77.39102195,154.531887,2.447796616,2.093126791,19.80337426,-1.943152688,-31.32964908,-59.18053382,56.79936651,-4.521373575,25.59862335,3.309744766,-4.073164046,25.40841207,-5.540791537,4.388926361,-1.198960256,7.375289174,3.642982854,9.155529593,-1.620890812,-4.004222879,5.172860796,-10.4690981,-1.547520248,-6.120271459,-0.661117062,-6.037779568,8.465798552,0.142701431,-0.595196917,-31.48096918,-26.96469267,-0.339659182,26.58149623,-17.97033713,212.1280426,30.49227481,15.36825933,29.21427246,-23.20972523,-29.96824138,-0.837316915,-4.662834758,1.586075591,-2.228956345,1.806882802,-1.271855152,0.604961533,2.890125566,-3.776932942,-2.217454867,-0.044155425,5.17459821058842e-12
X15G.G_S24.Me,-82.85014931,35.33816071,41.27788006,-8.081051541,19.78738327,-20.35660191,-37.78307973,34.62058262,-61.82560093,-57.02858867,6.369268849,-18.76371495,-82.74214126,23.08494747,142.9592129,36.38496867,213.8362254,34.41846145,155.77254,113.6680367,-51.28849201,-59.16546474,-9.448035509,125.2311788,8.893141363,-67.38539656,26.40749802,15.70138563,2.242984393,14.13354665,-13.06524709,-12.0605442,7.561239546,-12.11858672,-0.347527099,2.494616236,-0.238195283,7.353165528,0.01129923,9.968164572,24.46597173,18.86012253,-66.44198523,-171.4209344,-77.08081242,-98.28250053,5.680284956,-19.69618939,31.86049364,2.84689375,-26.73561023,-2.517257745,-13.03720755,-7.783957662,-4.567753381,-3.066663146,2.134162773,-4.920827106,3.027654786,-2.009963238,-1.236715163,-5.613814347,-2.045360566,-2.171072743,3.68051975022451e-12
X15W.G_S12.Me,83.59131041,-50.84190813,-96.62398233,57.74798175,64.7616427,9.644254434,-114.73222,-167.750198,-81.9073684,67.30095353,-68.15452218,-127.6957067,-90.00508891,-85.92755611,-120.1946962,-17.90166122,1.51107871,42.67680894,12.74680149,5.379074399,-1.373578482,-37.77088566,-22.9517011,-32.33347446,-30.07322607,-1.16234655,285.4158577,-133.2382213,-15.68334035,-30.5551576,-72.85460478,43.47063096,-104.7947482,-65.95489652,-90.09820573,-98.04459079,41.4405789,70.66297665,-24.94020114,-17.52589496,9.591231743,-14.84914541,-2.360953541,-2.097910532,-4.441082198,1.183151126,2.643744732,-6.557976171,4.944373652,-2.833616105,-1.902414558,2.356914993,-3.31355371,-2.26760064,-3.365065417,-2.749769583,-3.716979116,0.146903212,1.191692075,-1.372464597,-0.549057265,-0.46519427,-2.162304972,-0.400064971,-8.13E-12
X18W.G_S41.Me,206.6846856,-14.28512313,111.5143405,63.91834229,-129.9591126,311.8022775,-54.78283314,-12.36814328,48.35307109,-80.31139092,-8.437091284,36.77092401,-65.85271282,-22.21500863,-34.57736075,110.3437312,15.34687848,4.018326206,-20.4909837,28.68362944,-55.19678503,41.65111303,5.202672903,-38.98079372,-35.31770208,-15.23747155,10.60616155,31.6174801,7.452594453,-0.80218708,11.63078798,-13.84020293,10.27069288,-11.31429717,-14.12519734,0.519516242,-5.619969352,7.178220971,3.211132818,-21.68773233,-63.03562406,249.0056553,-7.097474455,3.655603698,3.378327311,1.01255017,-0.611438103,-2.467943337,-12.26283519,5.063519114,4.856779908,2.218284911,2.25319068,0.277818069,4.022552403,0.502322842,0.727136489,0.991628359,-2.133757037,1.386943578,0.594398108,0.469367088,-0.341458574,-0.121534097,-1.08E-11
X20G.G_S29.Me,-109.6719808,54.92009721,-3.695166671,0.748568274,-4.813894126,19.78843616,46.4889057,29.29309618,-63.31453275,-111.7269318,-7.58341214,-65.39776563,-191.5725896,120.4858808,21.41552887,-61.86497281,-98.07064667,-147.6272796,-173.7650752,72.77744676,-26.78768691,-48.65393779,16.34314276,43.50251391,-23.6399464,18.0333252,-2.250058926,-7.639005369,8.223174269,-1.747194056,-24.32967216,7.791773525,17.28366496,-16.40237305,-9.400500042,-6.495775754,12.15485617,-1.289570734,6.456326416,-13.47055004,-6.924758152,-1.774022058,12.10099768,12.10994399,11.95949026,-1.461343239,-14.08119544,2.82029903,11.99736154,-1.470156046,-10.7953655,-11.56127983,1.750711105,-188.848928,31.68427773,-39.52876456,-6.425004349,-2.154505397,6.377606344,-3.159161531,-2.153709924,5.14361351,3.875089203,5.721248781,-4.32E-12
X21B.G_S7.Me,-130.3954744,31.86625199,-98.15347052,-78.81898568,-92.69279666,31.60821899,-13.47972725,-99.83759418,-109.6614393,84.99704488,82.18799154,233.7908321,-73.23957197,-96.9170784,24.51837889,54.4950267,-15.47053159,-28.82145656,0.360177335,-13.40704772,33.7585979,-8.316247155,28.2311551,-4.774481146,6.45042884,32.92845774,1.795936418,9.348405664,7.142955949,9.638512023,3.19689022,0.060286641,2.164934271,-7.976494278,0.494019623,0.005188317,-0.256164238,8.328919304,2.00817737,5.949918326,0.254525876,-3.010473537,-14.15290343,-9.264127417,0.502747639,4.945606171,-0.815713327,2.29936642,-8.247024723,-3.769925662,5.806605843,9.064470679,10.3741419,2.907219054,-6.973260114,-7.009098773,1.263371761,9.469105507,-22.66314719,19.24070481,32.55995626,178.6444451,-25.38303969,5.387188723,4.05963911643517e-12
X28W.G_S47.Me,15.19286859,19.26637076,5.893940242,-27.10984899,-19.68542242,-36.61255401,42.99933159,-45.07183741,66.02956549,27.48092352,4.562476644,23.98525862,-31.71919495,77.65058221,-15.27236381,29.10472305,65.29970767,-42.23077625,-44.39158654,-39.18912942,-55.13940754,-23.08868144,38.52578843,-135.229301,258.4689229,-204.1472868,4.135723617,-71.43216092,2.266623992,-5.045536133,8.54987197,-7.104005047,-25.49637575,-58.68312326,42.6762804,-27.65928103,-90.79559812,52.60225096,241.9461184,13.95599657,-16.56436445,-10.27466832,13.6855171,8.230054162,-3.619562666,-1.669889756,-2.383667861,0.443555635,3.656111505,3.171914005,-3.040439564,1.114296647,0.509871711,2.450670464,-5.037315953,-1.478976343,-0.330467773,1.386177886,1.514347111,0.821629777,1.387223203,-3.112925406,-0.798814338,0.712432691,-7.67E-12
X29W.G_S76.Me,98.89784691,12.59983028,53.67369602,4.412597251,14.84313893,-42.7549051,9.842546196,18.01237266,-29.50036181,31.3844246,-11.3125378,8.542237528,-6.923918868,-11.22412866,17.3458312,11.71867751,3.587534976,5.356656178,-34.09722604,10.99664853,10.51276862,-17.06695252,-22.90984259,-35.0176994,58.94766416,91.58298615,19.21331493,8.801535508,0.58902807,162.8516208,-255.5954982,-271.9275729,-79.77659774,50.88194699,10.55329845,24.74703747,-88.54235264,-78.52060848,-18.59175536,-3.565005179,1.773524266,-6.541876495,6.15063664,6.102976652,-1.548581299,-2.310026067,-1.597882858,-1.932856034,-1.939141873,3.761195341,2.226661041,-0.149865448,1.023990581,1.888158506,0.410151734,-3.12763265,1.433819848,-1.221453223,3.176929,-0.297905721,-1.039716463,0.231136506,0.061159794,0.122046339,-4.24E-11
X29Y.G_S68.Me,-68.10361095,49.89008789,8.363225795,11.89718743,8.157744609,-22.52883741,57.20648379,-35.50390326,-9.148542711,23.19414596,-2.763691366,-44.69748813,43.0760537,-49.62112806,17.05416752,19.59615227,60.54854377,28.18403162,-91.14985972,-200.425637,-242.0606689,124.5576042,83.23082395,135.4784038,-5.705983254,48.60610788,8.016474652,-24.4833925,18.82316448,6.977066313,8.372550792,-10.12250667,6.105117436,11.15028821,-3.965370804,-10.24790466,-18.03309991,3.021646308,1.03659307,-1.596744057,5.296985457,11.10856988,-16.2259145,-38.27369168,6.424141942,93.82701112,177.631076,-8.229022076,9.265055098,11.24581898,-5.399118415,-0.025376445,-12.96971436,-14.29453955,-4.666777533,2.284890384,-6.307836815,8.001326978,3.31973301,-1.287087538,-0.502640404,-3.871529595,0.802634909,1.598100642,-1.04E-11
