sample,origin,transplant
12O-F_S66-Me,exposed,protected
12O-F_S66-Un,exposed,protected
15G-F_S52-Me,exposed,exposed
15G-F_S52-Un,exposed,exposed
29Y-F_S74-Me,protected,protected
29Y-F_S74-Un,protected,protected
38B-F_S42-Me,exposed,exposed
38B-F_S42-Un,exposed,exposed
40Y-F_S84-Me,protected,exposed
40Y-F_S84-Un,protected,exposed
45G-F_S32-Me,exposed,exposed
45G-F_S32-Un,exposed,exposed
47W-F_S82-Me,protected,exposed
47W-F_S82-Un,protected,exposed
55B-F_S4-Me,exposed,protected
55B-F_S4-Un,exposed,protected
55Y-F_S61-Me,protected,protected
55Y-F_S61-Un,protected,protected
61W-F_S38-Me,protected,exposed
61W-F_S38-Un,protected,exposed
67B-F_S20-Me,exposed,protected
67B-F_S20-Un,exposed,protected
6O-F_S6-Me,exposed,exposed
6O-F_S6-Un,exposed,exposed
6W-F_S50-Me,protected,protected
6W-F_S50-Un,protected,protected
72Y-F_S28-Me,protected,exposed
72Y-F_S28-Un,protected,exposed
76Y-F_S46-Me,exposed,exposed
76Y-F_S46-Un,exposed,exposed
81G-F_S79-Me,exposed,protected
81G-F_S79-Un,exposed,protected
86G-F_S75-Me,exposed,protected
86G-F_S75-Un,exposed,protected
89Y-F_S31-Me,protected,protected
89Y-F_S31-Un,protected,protected
90W-F_S21-Me,protected,protected
90W-F_S21-Un,protected,protected
91W-F_S30-Me,protected,exposed
91W-F_S30-Un,protected,exposed